message_id,text,label,topic
164,Vă rog să îmi spuneți: Care sunt cerințele minime pentru proiect? Aștept un răspuns când aveți timp.,academic,proiect
165,"Salut, Nu am primit răspuns de la secretariat. Este destul de urgent.",administrative,secretariat
166,La ce ghișeu trebuie să mă prezint? Aștept un răspuns când aveți timp.,administrative,secretariat
167,Va rog sa imi spuneti: Care este termenul limita pentru tema de saptamana aceasta? Multumesc anticipat.,academic,tema
168,Am o întrebare: Unde pot încărca copia după buletin? Mulțumesc.,administrative,documente
169,"Buna ziua, Este necesara traducerea legalizata a diplomei? Astept un raspuns cand aveti timp.",administrative,documente
170,"Salut, Ce documente sunt necesare pentru înscriere? Nu am găsit informația pe site.",administrative,înscriere
171,Putem primi un exemplu pentru cerința temei? Aștept un răspuns când aveți timp.,academic,tema
172,Cum îmi resetez parola contului instituțional? Mersi.,administrative,cont
173,Va rog sa imi spuneti: In ce sala se tine examenul? Astept un raspuns cand aveti timp.,academic,examen
174,Mă puteți ajuta? Nu văd situația școlară în platformă. Aștept un răspuns când aveți timp.,administrative,cont
175,Pot recupera laboratorul cu o altă grupă? Este destul de urgent.,academic,laborator
176,"Bună ziua, Putem primi un exemplu pentru cerința temei?",academic,tema
177,"Salut, Unde ridic adeverinta de student? Astept un raspuns cand aveti timp.",administrative,adeverință
178,Nu vad situatia scolara in platforma. Astept un raspuns cand aveti timp.,administrative,cont
179,"Salut, Laboratorul de mâine se ține fizic sau online? Aștept un răspuns când aveți timp.",academic,laborator
180,Cum se calculează nota finală? Mulțumesc anticipat.,academic,notare
181,"Salut, In cat timp se elibereaza adeverinta pentru angajator? Astept un raspuns cand aveti timp.",administrative,adeverință
182,Unde pot verifica dacă taxa a fost înregistrată? Aștept un răspuns când aveți timp.,administrative,taxă
183,"Buna ziua, Laboratorul de maine se tine fizic sau online? Nu am gasit informatia pe site.",academic,laborator
184,Examenul va avea întrebări grilă sau probleme? Este destul de urgent.,academic,examen
185,"Buna ziua, Cum pot modifica datele personale din cont? Este destul de urgent.",administrative,cont
186,Am o întrebare: La ce oră începe examenul de săptămâna viitoare? Mulțumesc.,academic,examen
187,"Bună ziua, Care sunt cerințele minime pentru proiect? Este destul de urgent.",academic,proiect
188,Mă puteți ajuta? Ce capitole intră la examen? Nu am găsit informația pe site.,academic,examen
189,Vă rog să îmi spuneți: Care sunt cerințele minime pentru proiect? Mulțumesc anticipat.,academic,proiect
190,"Buna ziua, Care este pragul minim pentru promovare? Multumesc.",academic,notare
191,Cum imi resetez parola contului institutional?,administrative,cont
192,Cum se calculează punctajul pentru proiect? Aștept un răspuns când aveți timp.,academic,proiect
193,"Salut, Examenul va avea întrebări grilă sau probleme? Mulțumesc.",academic,examen
194,"Salut, Care este programul secretariatului?",administrative,secretariat
195,Ma puteti ajuta? Examenul va avea intrebari grila sau probleme? Multumesc anticipat.,academic,examen
196,Ce documente sunt necesare pentru inscriere? Multumesc.,administrative,înscriere
197,Am o întrebare: Nu am primit răspuns de la secretariat. Este destul de urgent.,administrative,secretariat
198,Vă rog să îmi spuneți: Cum pot obține o adeverință de student? Mulțumesc.,administrative,adeverință
199,Cum îmi resetez parola contului instituțional,administrative,cont
200,Cum îmi resetez parola contului instituțional?,administrative,cont
201,Mă puteți ajuta Ce bibliografie recomandați pentru acest curs Nu am găsit informația pe site.,academic,curs
202,Mă puteți ajuta? Unde ridic adeverința de student?,administrative,adeverință
203,"Mă puteți ajuta? Am încărcat tema, dar nu apare ca trimisă. Mulțumesc anticipat.",academic,tema
204,"Salut, Ce documente sunt necesare pentru înscriere? Aștept un răspuns când aveți timp.",administrative,înscriere
205,"Salut, Care este termenul pentru plata taxei? Este destul de urgent.",administrative,taxă
206,Mă puteți ajuta? Când pot ridica documentele de la secretariat? Mulțumesc anticipat.,administrative,secretariat
207,"Bună ziua, Nu îmi apare punctajul pentru ultima temă. Mulțumesc.",academic,notare
208,Am o întrebare: Nu înțeleg cerința de la exercițiul trei din temă. Aștept un răspuns când aveți timp.,academic,tema
209,Am o întrebare: Pot recupera laboratorul cu o altă grupă? Mulțumesc anticipat.,academic,laborator
210,Vă rog să îmi spuneți: Care este pragul minim pentru promovare? Mulțumesc anticipat.,academic,notare
211,Pana cand se poate face inscrierea? Astept un raspuns cand aveti timp.,administrative,înscriere
212,Am o intrebare: Putem primi un exemplu pentru cerinta temei? Multumesc.,academic,tema
213,"Salut, Nu găsesc fișierul folosit la laborator.",academic,laborator
214,"Bună ziua, Am trimis proiectul, dar vreau să actualizez fișierul. Mulțumesc.",academic,proiect
215,Va rog sa imi spuneti: Nu ma pot autentifica in contul de student. Multumesc.,administrative,cont
216,Nu văd situația școlară în platformă.,administrative,cont
217,"Salut, Tema se predă individual sau în echipă? Nu am găsit informația pe site.",academic,tema
218,"Am trimis proiectul, dar vreau să actualizez fișierul. Mulțumesc anticipat.",academic,proiect
219,Mă puteți ajuta? Când pot ridica documentele de la secretariat? Mulțumesc.,administrative,secretariat
220,"Bună ziua, Unde găsim materialele de la curs? Nu am găsit informația pe site.",academic,curs
221,Care este pragul minim pentru promovare? Este destul de urgent.,academic,notare
222,"Bună ziua, În ce sală se ține examenul? Mulțumesc anticipat.",academic,examen
223,Am o intrebare: Putem alege o tema diferita pentru proiect?,academic,proiect
224,"Salut, Putem alege o temă diferită pentru proiect? Nu am găsit informația pe site.",academic,proiect
225,Mă puteți ajuta? Pot recupera laboratorul cu o altă grupă? Mulțumesc.,academic,laborator
226,"Salut, Până când se poate face înscrierea Nu am găsit informația pe site.",administrative,înscriere
227,Mă puteți ajuta Cum se calculează nota finală,academic,notare
228,Va rog sa imi spuneti: Contul meu apare blocat. Astept un raspuns cand aveti timp.,administrative,cont
229,Am o întrebare: Cum îmi resetez parola contului instituțional Nu am găsit informația pe site.,administrative,cont
230,Se poate restitui taxa de înscriere? Mulțumesc anticipat.,administrative,taxă
231,"Salut, Care sunt cerințele minime pentru proiect? Este destul de urgent.",academic,proiect
232,"Mă puteți ajuta? Am trimis proiectul, dar vreau să actualizez fișierul. Nu am găsit informația pe site.",academic,proiect
233,Mă puteți ajuta? Pot aduce actele după începerea semestrului? Mulțumesc anticipat.,administrative,documente
234,Mă puteți ajuta? Cum îmi resetez parola contului instituțional? Aștept un răspuns când aveți timp.,administrative,cont
235,În ce cont bancar trebuie plătită taxa? Nu am găsit informația pe site.,administrative,taxă
236,Am o întrebare: Unde pot încărca copia după buletin? Nu am găsit informația pe site.,administrative,documente
237,Vă rog să îmi spuneți: Ce trebuie să pregătim pentru următorul laborator? Aștept un răspuns când aveți timp.,academic,laborator
238,Pot plati taxa in doua transe? Este destul de urgent.,administrative,taxă
239,"Salut, Nu găsesc fișierul folosit la laborator. Aștept un răspuns când aveți timp.",academic,laborator
240,"Bună ziua, Când se afișează rezultatele examenului? Aștept un răspuns când aveți timp.",academic,examen
